REGIÃO;UF;VALOR DA PRODUÇÃO;ANO
Região Norte;Rondônia;12,42;2011
Região Norte;Rondônia;8,653453;2012
Região Norte;Rondônia;7,460333;2013
Região Norte;Rondônia;12,769985;2014
Região Norte;Rondônia;12,988815;2015
Região Norte;Rondônia;9,058;2016
Região Norte;Rondônia;4,901497;2017
Região Norte;Rondônia;1,389635;2018
Região Norte;Rondônia;4,848;2019
Região Norte;Rondônia;0,0663;2020
Região Norte;Acre;2,68;2011
Região Norte;Acre;4,101399;2012
Região Norte;Acre;5,008348;2013
Região Norte;Acre;0;2014
Região Norte;Acre;4,508889;2015
Região Norte;Acre;3,673;2016
Região Norte;Acre;0;2017
Região Norte;Acre;0;2018
Região Norte;Acre;0;2019
Região Norte;Acre;0;2020
Região Norte;Amazonas;6,43;2011
Região Norte;Amazonas;4,046;2012
Região Norte;Amazonas;4,874878;2013
Região Norte;Amazonas;2,918;2014
Região Norte;Amazonas;5,804;2015
Região Norte;Amazonas;5,497;2016
Região Norte;Amazonas;4,845;2017
Região Norte;Amazonas;5,468;2018
Região Norte;Amazonas;8,816;2019
Região Norte;Amazonas;9,009;2020
Região Norte;Pará;39,14;2011
Região Norte;Pará;34,362152;2012
Região Norte;Pará;37,061974;2013
Região Norte;Pará;42,145283;2014
Região Norte;Pará;40,926316;2015
Região Norte;Pará;33,15;2016
Região Norte;Pará;51,619027;2017
Região Norte;Pará;43,464166;2018
Região Norte;Pará;61,232;2019
Região Norte;Pará;50,340467;2020
Região Norte;Tocantins;109,19;2011
Região Norte;Tocantins;161,685019;2012
Região Norte;Tocantins;184,337788;2013
Região Norte;Tocantins;180,719783;2014
Região Norte;Tocantins;189,805978;2015
Região Norte;Tocantins;161,973;2016
Região Norte;Tocantins;176,271447;2017
Região Norte;Tocantins;155,221963;2018
Região Norte;Tocantins;166,37;2019
Região Norte;Tocantins;174,501618;2020
Região Nordeste ;Maranhão;178,37;2011
Região Nordeste ;Maranhão;160,372717;2012
Região Nordeste ;Maranhão;167,89879;2013
Região Nordeste ;Maranhão;179,15071;2014
Região Nordeste ;Maranhão;186,980954;2015
Região Nordeste ;Maranhão;127,99648;2016
Região Nordeste ;Maranhão;162,556946;2017
Região Nordeste ;Maranhão;147,615979;2018
Região Nordeste ;Maranhão;167,7435;2019
Região Nordeste ;Maranhão;174,547847;2020
Região Nordeste ;Piauí;36,64;2011
Região Nordeste ;Piauí;6,608463;2012
Região Nordeste ;Piauí;31,937491;2013
Região Nordeste ;Piauí;32,506926;2014
Região Nordeste ;Piauí;32,679517;2015
Região Nordeste ;Piauí;21,606135;2016
Região Nordeste ;Piauí;20,404588;2017
Região Nordeste ;Piauí;37,477886;2018
Região Nordeste ;Piauí;46,458773;2019
Região Nordeste ;Piauí;40,29345;2020
Região Nordeste ;Ceará;8,78;2011
Região Nordeste ;Ceará;3,977569;2012
Região Nordeste ;Ceará;9,000694;2013
Região Nordeste ;Ceará;9,131623;2014
Região Nordeste ;Ceará;14,599849;2015
Região Nordeste ;Ceará;5,242;2016
Região Nordeste ;Ceará;0;2017
Região Nordeste ;Ceará;0;2018
Região Nordeste ;Ceará;0;2019
Região Nordeste ;Ceará;0;2020
Região Nordeste ;Rio Grande do Norte ;95,92;2011
Região Nordeste ;Rio Grande do Norte ;90,34944;2012
Região Nordeste ;Rio Grande do Norte ;55,558268;2013
Região Nordeste ;Rio Grande do Norte ;73,236396;2014
Região Nordeste ;Rio Grande do Norte ;98,260143;2015
Região Nordeste ;Rio Grande do Norte ;75,154945;2016
Região Nordeste ;Rio Grande do Norte ;66,349253;2017
Região Nordeste ;Rio Grande do Norte ;114,899291;2018
Região Nordeste ;Rio Grande do Norte ;109,642442;2019
Região Nordeste ;Rio Grande do Norte ;118,304254;2020
Região Nordeste ;Paraíba;327,96;2011
Região Nordeste ;Paraíba;294,456962;2012
Região Nordeste ;Paraíba;287,002903;2013
Região Nordeste ;Paraíba;375,701945;2014
Região Nordeste ;Paraíba;447,057098;2015
Região Nordeste ;Paraíba;360,234251;2016
Região Nordeste ;Paraíba;329,634914;2017
Região Nordeste ;Paraíba;431,044077;2018
Região Nordeste ;Paraíba;359,026839;2019
Região Nordeste ;Paraíba;376,675038;2020
Região Nordeste ;Pernambuco;366,88;2011
Região Nordeste ;Pernambuco;333,407771;2012
Região Nordeste ;Pernambuco;249,265773;2013
Região Nordeste ;Pernambuco;336,056589;2014
Região Nordeste ;Pernambuco;442,943171;2015
Região Nordeste ;Pernambuco;347,869722;2016
Região Nordeste ;Pernambuco;279,446371;2017
Região Nordeste ;Pernambuco;465,51343;2018
Região Nordeste ;Pernambuco;367,956919;2019
Região Nordeste ;Pernambuco;395,01759;2020
Região Nordeste ;Alagoas;721,69;2011
Região Nordeste ;Alagoas;579,664696;2012
Região Nordeste ;Alagoas;457,733559;2013
Região Nordeste ;Alagoas;485,245474;2014
Região Nordeste ;Alagoas;554,55769;2015
Região Nordeste ;Alagoas;366,485728;2016
Região Nordeste ;Alagoas;311,880222;2017
Região Nordeste ;Alagoas;464,102313;2018
Região Nordeste ;Alagoas;503,156852;2019
Região Nordeste ;Alagoas;425,904409;2020
Região Nordeste ;Sergipe ;97,89;2011
Região Nordeste ;Sergipe ;124,840807;2012
Região Nordeste ;Sergipe ;99,132981;2013
Região Nordeste ;Sergipe ;111,537034;2014
Região Nordeste ;Sergipe ;169,887677;2015
Região Nordeste ;Sergipe ;76,031749;2016
Região Nordeste ;Sergipe ;63,73614;2017
Região Nordeste ;Sergipe ;104,20349;2018
Região Nordeste ;Sergipe ;101,826513;2019
Região Nordeste ;Sergipe ;97,156601;2020
Região Nordeste ;Bahia ;104,4;2011
Região Nordeste ;Bahia ;147,448581;2012
Região Nordeste ;Bahia ;175,459467;2013
Região Nordeste ;Bahia ;240,293978;2014
Região Nordeste ;Bahia ;222,264976;2015
Região Nordeste ;Bahia ;126,070883;2016
Região Nordeste ;Bahia ;180,770938;2017
Região Nordeste ;Bahia ;245,701679;2018
Região Nordeste ;Bahia ;249,095225;2019
Região Nordeste ;Bahia ;273,54557;2020
Região Sudeste;Minas Gerais;2105,65;2011
Região Sudeste;Minas Gerais;2102,990385;2012
Região Sudeste;Minas Gerais;2809,093664;2013
Região Sudeste;Minas Gerais;2676,281452;2014
Região Sudeste;Minas Gerais;3202,916052;2015
Região Sudeste;Minas Gerais;2699,42542;2016
Região Sudeste;Minas Gerais;2705,404056;2017
Região Sudeste;Minas Gerais;3257,598713;2018
Região Sudeste;Minas Gerais;3579,206026;2019
Região Sudeste;Minas Gerais;3075,454356;2020
Região Sudeste;Espírito Santo ;197;2011
Região Sudeste;Espírito Santo ;186,401561;2012
Região Sudeste;Espírito Santo ;180,716835;2013
Região Sudeste;Espírito Santo ;162,345026;2014
Região Sudeste;Espírito Santo ;178,734176;2015
Região Sudeste;Espírito Santo ;75,307676;2016
Região Sudeste;Espírito Santo ;90,645437;2017
Região Sudeste;Espírito Santo ;127,569572;2018
Região Sudeste;Espírito Santo ;120,967867;2019
Região Sudeste;Espírito Santo ;89,692692;2020
Região Sudeste;Rio de Janeiro;81,26;2011
Região Sudeste;Rio de Janeiro;68,381235;2012
Região Sudeste;Rio de Janeiro;86,098755;2013
Região Sudeste;Rio de Janeiro;88,48514;2014
Região Sudeste;Rio de Janeiro;57,603867;2015
Região Sudeste;Rio de Janeiro;94,689826;2016
Região Sudeste;Rio de Janeiro;53,891687;2017
Região Sudeste;Rio de Janeiro;97,259793;2018
Região Sudeste;Rio de Janeiro;91,61986;2019
Região Sudeste;Rio de Janeiro;139,880152;2020
Região Sudeste;São Paulo ;11824,93;2011
Região Sudeste;São Paulo ;11987,48787;2012
Região Sudeste;São Paulo ;13921,70151;2013
Região Sudeste;São Paulo ;13871,48812;2014
Região Sudeste;São Paulo ;13830,04782;2015
Região Sudeste;São Paulo ;14232,41122;2016
Região Sudeste;São Paulo ;13838,59213;2017
Região Sudeste;São Paulo ;16203,40306;2018
Região Sudeste;São Paulo ;16680,34235;2019
Região Sudeste;São Paulo ;14696,16711;2020
Região Sul ;Paraná  ;1399,06;2011
Região Sul ;Paraná  ;1304,047392;2012
Região Sul ;Paraná  ;1466,439621;2013
Região Sul ;Paraná  ;1579,462039;2014
Região Sul ;Paraná  ;1462,387271;2015
Região Sul ;Paraná  ;1473,691184;2016
Região Sul ;Paraná  ;1291,370872;2017
Região Sul ;Paraná  ;1624,00967;2018
Região Sul ;Paraná  ;1664,633784;2019
Região Sul ;Paraná  ;1263,867806;2020
Região Sul ;Rio Grande do Sul ;6,58;2011
Região Sul ;Rio Grande do Sul ;1,665514;2012
Região Sul ;Rio Grande do Sul ;4,509846;2013
Região Sul ;Rio Grande do Sul ;4,397453;2014
Região Sul ;Rio Grande do Sul ;3,786688;2015
Região Sul ;Rio Grande do Sul ;2,914;2016
Região Sul ;Rio Grande do Sul ;2,493832;2017
Região Sul ;Rio Grande do Sul ;2,189426;2018
Região Sul ;Rio Grande do Sul ;1,640383;2019
Região Sul ;Rio Grande do Sul ;0,088251;2020
Região Centro-Oeste ;Mato Grosso do Sul ;1630,29;2011
Região Centro-Oeste ;Mato Grosso do Sul ;1980,734024;2012
Região Centro-Oeste ;Mato Grosso do Sul ;2218,096267;2013
Região Centro-Oeste ;Mato Grosso do Sul ;2349,741948;2014
Região Centro-Oeste ;Mato Grosso do Sul ;2712,330386;2015
Região Centro-Oeste ;Mato Grosso do Sul ;2599,941104;2016
Região Centro-Oeste ;Mato Grosso do Sul ;2668,062671;2017
Região Centro-Oeste ;Mato Grosso do Sul ;3264,479495;2018
Região Centro-Oeste ;Mato Grosso do Sul ;3307,20173;2019
Região Centro-Oeste ;Mato Grosso do Sul ;2879,649369;2020
Região Centro-Oeste ;Mato Grosso ;862,11;2011
Região Centro-Oeste ;Mato Grosso ;953,531171;2012
Região Centro-Oeste ;Mato Grosso ;1181,941391;2013
Região Centro-Oeste ;Mato Grosso ;1132,042891;2014
Região Centro-Oeste ;Mato Grosso ;1316,318791;2015
Região Centro-Oeste ;Mato Grosso ;1211,646258;2016
Região Centro-Oeste ;Mato Grosso ;1415,090123;2017
Região Centro-Oeste ;Mato Grosso ;1757,282435;2018
Região Centro-Oeste ;Mato Grosso ;2254,270381;2019
Região Centro-Oeste ;Mato Grosso ;3204,992607;2020
Região Centro-Oeste ;Goiás;2677,25;2011
Região Centro-Oeste ;Goiás;3219,458948;2012
Região Centro-Oeste ;Goiás;3887,501316;2013
Região Centro-Oeste ;Goiás;4269,033039;2014
Região Centro-Oeste ;Goiás;4809,350044;2015
Região Centro-Oeste ;Goiás;4584,213089;2016
Região Centro-Oeste ;Goiás;4874,776256;2017
Região Centro-Oeste ;Goiás;4491,430351;2018
Região Centro-Oeste ;Goiás;5470,737678;2019
Região Centro-Oeste ;Goiás;5318,036066;2020
